celldm(1) Total_Energy
10.0712946562 -190.95801122
10.1773082841 -190.96996269
10.2833219121 -190.97966280
10.3893355400 -190.98731687
10.4953491680 -190.99312116
10.601362796 -190.99725566
10.7073764239 -190.99988284
10.8133900519 -191.00114616
10.9194036798 -191.00128314
11.0254173078 -191.00046868
11.1314309358 -190.99867341
